cid|client_name|inbox_id|inbox_name|inbox_channel_type|is_contracted|is_active_in_period|conversations_count|messages_count|customer_messages_count|outgoing_messages_count|pct_account_messages|reconciliation_status
180032|DALE Desarrollos|0|~|~|S|N|0|0|~|~|~|~
165475|KINEOUMF|2692|UMF-KINEO|~|N|S|44|703|~|~|~|~
165475|KINEOUMF|3284|KIDS-KINEO|~|N|S|37|612|~|~|~|~
165475|KINEOUMF|0|~|~|S|N|0|0|~|~|~|~
177531|DENTAL GOMEZ FARIAS|3910|Divani Hernandez|~|N|S|24|435|~|~|~|~
177531|DENTAL GOMEZ FARIAS|3503|Valery-Yvonne|~|N|S|19|362|~|~|~|~
177531|DENTAL GOMEZ FARIAS|3504|Miri Sandoval|~|N|S|34|582|~|~|~|~
177531|DENTAL GOMEZ FARIAS|3505|Liz Torrentera|~|N|S|16|297|~|~|~|~
177531|DENTAL GOMEZ FARIAS|3506|Caty Hernandez|~|N|S|2|35|~|~|~|~
177531|DENTAL GOMEZ FARIAS|3539|Cobranza|~|N|S|14|244|~|~|~|~
177531|DENTAL GOMEZ FARIAS|3541|Ever Bautista|~|N|S|13|217|~|~|~|~
177531|DENTAL GOMEZ FARIAS|3542|Ventas CDMX|~|N|S|3|58|~|~|~|~
177531|DENTAL GOMEZ FARIAS|0|~|~|S|N|0|0|~|~|~|~
164444|Comaudi Industrial|2149|Comaudi Industrial 5544386055|~|N|S|125|1632|~|~|~|~
164444|Comaudi Industrial|0|~|~|S|N|0|0|~|~|~|~
168741|Grupo Suma|2686|Grupo SUMA|~|N|S|88|1338|~|~|~|~
168741|Grupo Suma|0|~|~|S|N|0|0|~|~|~|~
130723|GRUPO TORRES CORZO|2180|CTC Sendero MS|~|N|S|1|18|~|~|~|~
130723|GRUPO TORRES CORZO|1418|CTC Nava S|~|N|S|6|96|~|~|~|~
130723|GRUPO TORRES CORZO|1440|CTC Nava MS|~|N|S|1|19|~|~|~|~
130723|GRUPO TORRES CORZO|1951|CTC Carranza S|~|N|S|2|22|~|~|~|~
130723|GRUPO TORRES CORZO|646|MKT Sendero V|~|N|S|1|20|~|~|~|~
130723|GRUPO TORRES CORZO|1838|CTC Matehuala S|~|N|S|1|2|~|~|~|~
130723|GRUPO TORRES CORZO|1957|CTC MG Poliforum V|~|N|S|2|30|~|~|~|~
130723|GRUPO TORRES CORZO|2279|CTC Centromax MS|~|N|S|2|37|~|~|~|~
130723|GRUPO TORRES CORZO|2097|CTC Centromax S|~|N|S|1|18|~|~|~|~
130723|GRUPO TORRES CORZO|2041|CTC Rioverde MS|~|N|S|1|20|~|~|~|~
130723|GRUPO TORRES CORZO|1955|CTC MG Lomas V|~|N|S|1|10|~|~|~|~
130723|GRUPO TORRES CORZO|2173|CTC Forum S|~|N|S|3|23|~|~|~|~
130723|GRUPO TORRES CORZO|305|MKT Nava V|~|N|S|2|11|~|~|~|~
130723|GRUPO TORRES CORZO|645|CTC Lomas V|~|N|S|1|20|~|~|~|~
130723|GRUPO TORRES CORZO|1839|CTC Rioverde S|~|N|S|1|3|~|~|~|~
130723|GRUPO TORRES CORZO|3845|Troncal Forum|~|N|S|1|6|~|~|~|~
130723|GRUPO TORRES CORZO|3848|Troncal Centromax|~|N|S|1|1|~|~|~|~
130723|GRUPO TORRES CORZO|1956|CTC Lomas S|~|N|S|1|19|~|~|~|~
130723|GRUPO TORRES CORZO|3157|TuNissan.com|~|N|S|23|303|~|~|~|~
130723|GRUPO TORRES CORZO|3167|Troncal Nava|~|N|S|3|17|~|~|~|~
130723|GRUPO TORRES CORZO|3181|Troncal MG Lomas|~|N|S|1|4|~|~|~|~
130723|GRUPO TORRES CORZO|4033|Tu MG.mx|~|N|S|3|21|~|~|~|~
130723|GRUPO TORRES CORZO|4056|Nissan Torres Corzo Carranza|~|N|S|1|3|~|~|~|~
130723|GRUPO TORRES CORZO|0|~|~|S|N|0|0|~|~|~|~
130723|GRUPO TORRES CORZO|2171|WhatsApp Soporte|~|N|S|1|18|~|~|~|~
130723|GRUPO TORRES CORZO|0|~|~|S|N|0|0|~|~|~|~
176205|Travelling|3376|Marketing, FB IG|~|N|S|4|35|~|~|~|~
176205|Travelling|3414|Travelling Xalapa temporal|~|N|S|2|19|~|~|~|~
176205|Travelling|3425|Travelling Xalapa API|~|N|S|2|7|~|~|~|~
176205|Travelling|3431|Travelling Puebla API|~|N|S|53|111|~|~|~|~
176205|Travelling|0|~|~|S|N|0|0|~|~|~|~
151149|Beckro|1547|5588548344|~|N|S|43|675|~|~|~|~
151149|Beckro|1309|Salvaescaleras MX|~|N|S|5|50|~|~|~|~
151149|Beckro|1287|5588548304|~|N|S|77|1159|~|~|~|~
151149|Beckro|0|~|~|S|N|0|0|~|~|~|~
75037|Restaurante Madero|0|~|~|S|N|0|0|~|~|~|~
121883|MY NEXT STEP|0|~|~|S|N|0|0|~|~|~|~
179183|T2 SEGUROS|3811|T2 Seguros|~|N|S|1|7|~|~|~|~
179183|T2 SEGUROS|0|~|~|S|N|0|0|~|~|~|~
159285|Genius Chat|3045|20425, Maribel Marquez Stelarhe|~|N|S|22|271|~|~|~|~
159285|Genius Chat|3043|20449, Sebastian Torres Stelarhe|~|N|S|2|40|~|~|~|~
159285|Genius Chat|2011|20430, Ricardo Genius|~|N|S|9|117|~|~|~|~
159285|Genius Chat|1793|20304, Zayra Gizet remax|~|N|S|8|136|~|~|~|~
159285|Genius Chat|3584|20474, Nelson MLC|~|N|S|3|29|~|~|~|~
159285|Genius Chat|2299|20352, Pete Vargas Sheryl|~|N|S|2|38|~|~|~|~
159285|Genius Chat|1831|19, Belen Osuna Remax|~|N|S|5|84|~|~|~|~
159285|Genius Chat|3059|20422, Rebeca Stelarhe|~|N|S|13|85|~|~|~|~
159285|Genius Chat|1827|61, Marisela Chavoya Remax|~|N|S|1|18|~|~|~|~
159285|Genius Chat|2928|20404, Karen Douglas Costa Bonita|~|N|S|1|2|~|~|~|~
159285|Genius Chat|3327|20346, Hector Osuna Legends|~|N|S|1|8|~|~|~|~
159285|Genius Chat|2276|20371, Lupita Orozco Remax|~|N|S|2|39|~|~|~|~
159285|Genius Chat|3018|20437, Caro Flores Remax|~|N|S|5|65|~|~|~|~
159285|Genius Chat|4130|20544, Pamela Rios Alma Nova|~|N|S|1|18|~|~|~|~
159285|Genius Chat|4132|20542, Martha Mendoza Alma Nova|~|N|S|1|4|~|~|~|~
159285|Genius Chat|4147|20543, Mayra Alapizco Alma Nova|~|N|S|1|20|~|~|~|~
159285|Genius Chat|0|~|~|S|N|0|0|~|~|~|~
162474|Medicall Expert|3551|Andrei|~|N|S|1|19|~|~|~|~
162474|Medicall Expert|3557|America|~|N|S|2|39|~|~|~|~
162474|Medicall Expert|2606|Abraham|~|N|S|4|45|~|~|~|~
162474|Medicall Expert|1853|DANI RP|~|N|S|7|119|~|~|~|~
162474|Medicall Expert|1844|Dani Vinculación|~|N|S|18|359|~|~|~|~
162474|Medicall Expert|1855|Skarleth|~|N|S|9|167|~|~|~|~
162474|Medicall Expert|3952|Carlos|~|N|S|5|47|~|~|~|~
162474|Medicall Expert|1813|Cristina|~|N|S|10|107|~|~|~|~
162474|Medicall Expert|2117|Jazmin G|~|N|S|11|98|~|~|~|~
162474|Medicall Expert|3953|Consultorio|~|N|S|6|98|~|~|~|~
162474|Medicall Expert|2366|Karime|~|N|S|1|12|~|~|~|~
162474|Medicall Expert|3818|Maya|~|N|S|6|85|~|~|~|~
162474|Medicall Expert|1805|Jose Manuel|~|N|S|29|300|~|~|~|~
162474|Medicall Expert|3290|Uli Vinculacion|~|N|S|16|320|~|~|~|~
162474|Medicall Expert|0|~|~|S|N|0|0|~|~|~|~
160755|GRUPO RIZO|1961|Ventas Grupo Rizo - 311-264-0300|~|N|S|9|158|~|~|~|~
160755|GRUPO RIZO|1963|Soporte Vallarta 322-356-5514|~|N|S|40|720|~|~|~|~
160755|GRUPO RIZO|1938|Consumibles Tepic - 311-851-9723|~|N|S|47|780|~|~|~|~
160755|GRUPO RIZO|2633|Consumibles Vallarta 3222922239|~|N|S|29|501|~|~|~|~
160755|GRUPO RIZO|0|~|~|S|N|0|0|~|~|~|~
165238|AM DESARROLLOS INMOBILIARIOS MAZATLAN|2251|Oficina 6694540324|~|N|S|27|90|~|~|~|~
165238|AM DESARROLLOS INMOBILIARIOS MAZATLAN|2249|Frida Chavez 6694540320|~|N|S|52|703|~|~|~|~
165238|AM DESARROLLOS INMOBILIARIOS MAZATLAN|2250|Annel Garcia 6694540038|~|N|S|1|19|~|~|~|~
165238|AM DESARROLLOS INMOBILIARIOS MAZATLAN|0|~|~|S|N|0|0|~|~|~|~
167404|Equipos de Elevacion|2841|Monterrey|~|N|S|13|90|~|~|~|~
167404|Equipos de Elevacion|2847|CDMX|~|N|S|57|329|~|~|~|~
167404|Equipos de Elevacion|0|~|~|S|N|0|0|~|~|~|~
149651|Alianza Multimarca|0|~|~|S|N|0|0|~|~|~|~
149651|Alianza Multimarca|0|~|~|S|N|0|0|~|~|~|~
157130|PerfumesFinos.mx|1525|WA Perfumes Finos|~|N|S|1|4|~|~|~|~
157130|PerfumesFinos.mx|2837|WA Josué|~|N|S|39|615|~|~|~|~
157130|PerfumesFinos.mx|1600|WA Perfume Center|~|N|S|61|579|~|~|~|~
157130|PerfumesFinos.mx|2269|WA Bodega PC|~|N|S|24|150|~|~|~|~
157130|PerfumesFinos.mx|0|~|~|S|N|0|0|~|~|~|~
121883|MY NEXT STEP|677|PAUSADO UDAVINCI 5589507035|~|N|S|2|22|~|~|~|~
121883|MY NEXT STEP|0|~|~|S|N|0|0|~|~|~|~
23459|RANCH MART|3561|ranchmart|~|N|S|2|23|~|~|~|~
23459|RANCH MART|3604|RANCH MART API WPP|~|N|S|59|642|~|~|~|~
23459|RANCH MART|3847|WA API 4774540292|~|N|S|3|40|~|~|~|~
23459|RANCH MART|3558|RanchMart FB|~|N|S|44|467|~|~|~|~
23459|RANCH MART|3528|DACAR COMPRAS|~|N|S|4|44|~|~|~|~
23459|RANCH MART|3531|DACAR ALE|~|N|S|13|142|~|~|~|~
23459|RANCH MART|0|~|~|S|N|0|0|~|~|~|~
161108|Grupo Gopar|0|~|~|S|N|0|0|~|~|~|~
158423|CLIMAHORRO|0|~|~|S|N|0|0|~|~|~|~
180640|FINSUS CRÉDITO AL CONSUMO|4096|Joseline Terrazas 5548298307|~|N|S|77|598|~|~|~|~
180640|FINSUS CRÉDITO AL CONSUMO|4095|Rosa De La Cruz 4611800131|~|N|S|29|158|~|~|~|~
180640|FINSUS CRÉDITO AL CONSUMO|4099|Giovani Ortiz 5535376521|~|N|S|18|149|~|~|~|~
