cid|client_name|chatwoot_account_name|cutoff_day|period_start|status|alerta|conversations_total|messages_total|customer_messages_total|outgoing_messages_total|avg_messages_per_conversation|contracted_inboxes_count|observed_inboxes_count|active_inboxes_count|inactive_inboxes_count|contracted_messages_monthly|contracted_agents|pct_uso|uso_rango|base_medicion|pct_uso_bolsa|prev_messages_total|crecimiento_pct|tendencia|tier|last_activity_at
107625|LIV BIENES RAÍCES|LIV Bienes Raíces|4|2026-08-05|usage_alert|bajo|0|0|0|0|0|2|2|0|2|~|1|0|0-25|agentes|~|0|~|sin_historico|~|~
107625|LIV BIENES RAÍCES|LIV Bienes Raíces|4|2026-07-05|usage_alert|bajo|0|0|0|0|0|2|2|~|~|0|1|0|0-25|agentes|~|0|~|sin_historico|B|~
125600|PVnube|PVnube|20|2026-07-21|ok|crecimiento|9412|342362|166549|175813|36.38|1|100|~|~|0|1|433369.6|100+|agentes|~|0|~|sube|A|~
125600|PVnube|PVnube|20|2026-06-21|usage_alert|bajo|9782|0|0|0|0|1|95|~|~|0|1|0|0-25|agentes|~|0|~|sin_historico|A|~
139590|FINSUS|FINSUS|1|2026-08-02|operational_error|operativo|0|0|0|0|0|~|5|0|5|~|24|0|0-25|agentes|~|0|~|sin_historico|~|~
139590|FINSUS|FINSUS|1|2026-07-02|operational_error|operativo|0|0|0|0|0|~|5|0|5|~|24|0|0-25|agentes|~|717|-100|baja|~|~
162474|Medicall Expert|Grupo Medexp|1|2026-07-02|ok|crecimiento|1894|71654|47692|23962|37.83|1|19|~|~|0|15|2263.9|100+|agentes|~|1815|3847.9|sube|AA|~
162474|Medicall Expert|Grupo Medexp|1|2026-06-02|usage_alert|crecimiento|125|1815|1064|751|14.52|1|19|0|1|0|15|121|100+|agentes|~|~|~|sin_historico|~|2026-07-01
166396|Pastelería Antares Chat|Antares Pasteleria|1|2026-08-02|operational_error|operativo|0|0|0|0|0|3|3|0|3|0|4|0|0-25|agentes|~|3501|-100|baja|~|~
166396|Pastelería Antares Chat|Antares Pasteleria|1|2026-07-02|ok|crecimiento|572|3501|1979|1522|6.12|3|3|~|~|0|4|825.7|100+|agentes|~|1291|171.2|sube|AAA|~
439|Cargo Lift|Cargo Lift|1|2026-08-02|operational_error|operativo|0|2|2|0|0|3|3|1|2|23|20|8.7|0-25|hibrido|8.7|2047|-99.9|baja|~|~
439|Cargo Lift|Cargo Lift|1|2026-07-02|ok|crecimiento|95|2047|1026|1021|21.55|3|3|~|~|23|20|8900|100+|hibrido|8900|1651|24|plana|AAA|~
99436|Meditek|Soldatek ATP|1|2026-08-02|operational_error|operativo|31|499|304|195|16.1|10|10|8|2|0|1|499|100+|hibrido|~|451|10.6|plana|~|~
99436|Meditek|Soldatek ATP|1|2026-07-02|ok|crecimiento|38|451|292|159|11.87|10|10|~|~|0|1|570.9|100+|hibrido|~|353|27.8|plana|A|~
161610|Bliss crédito libre|Bliss Crédito Libre|1|2026-08-02|suspended|omitido_suspendido|~|~|~|~|~|1|~|~|~|0|0|~|~|hibrido|~|~|~|~|~|~
161610|Bliss crédito libre|Bliss Crédito Libre|1|2026-07-02|usage_alert|bajo|0|0|0|0|0|1|0|~|~|0|0|~|sin_plan|hibrido|~|0|~|sin_historico|AAA|~
174954|Grupo SPH|Grupo SPH|1|2026-08-02|ok|crecimiento|436|4105|1705|2400|9.42|4|4|2|2|0|8|513.1|100+|agentes|~|1591|158|sube|~|~
174954|Grupo SPH|Grupo SPH|1|2026-07-02|ok|crecimiento|203|1591|689|902|7.84|4|4|~|~|0|8|251.7|100+|agentes|~|1105|44|sube|A|~
180032|DALE Desarrollos|DALE DESARROLLOS|1|2026-06-02|usage_alert|bajo|0|0|0|0|0|1|1|0|1|0|0|~|sin_plan|tendencia|~|~|~|sin_historico|~|~
165475|KINEOUMF|Call Center KINEO|25|2026-07-26|operational_error|operativo|0|0|0|0|0|~|0|~|~|0|2|0|0-25|agentes|~|1315|-100|baja|~|~
